,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
166,Cozy Garden Apartment  in Williamsburg,Williamsburg,40.71516,-73.96448,Entire home/apt,86,30,71,26,0
167,SoHa comfort-by NW Central Park!,Harlem,40.80332,-73.95741,Private room,122,30,105,4,1
168,Room in the heart of Astoria,Astoria,40.76336,-73.92099,Private room,55,30,0,0,1
169,Prewar Penthouse w Private Terrace,Upper West Side,40.78846,-73.97459,Entire home/apt,199,15,33,337,0
170,Bright Beautiful Brooklyn,Greenpoint,40.73094,-73.95484,Private room,100,30,7,338,1
171,Unique spacious loft on the Bowery,Nolita,40.72,-73.99487,Entire home/apt,595,3,226,205,0
172,"Nice renovated apt, prime location!",Upper West Side,40.77845,-73.98295,Entire home/apt,150,30,56,27,0
173,Bright and lovely 1-bdrm LES apt w/ balcony,Chinatown,40.7159,-73.99156,Entire home/apt,142,28,55,69,0
174,Beautiful One Bed West Village - 4 Month Special,Greenwich Village,40.72997,-74.00196,Entire home/apt,200,30,43,65,0
175,Gigantic Private Brooklyn Loft!,Greenpoint,40.72919,-73.95588,Entire home/apt,229,1,50,0,0
176,Condo Apartment with Laundry and Assigned Parking,Kingsbridge,40.87069,-73.90113,Entire home/apt,90,30,11,216,0
177,1BR: See Central Park from Terrace!,Upper West Side,40.77743,-73.97691,Entire home/apt,110,30,37,0,0
178,Private railroad apartment in cozy Greenpoint,Greenpoint,40.72744,-73.953,Private room,85,7,35,0,1
179,French Garden cottage off Bedford,Williamsburg,40.71976,-73.96012,Entire home/apt,129,15,80,126,0
180,Alcove Studio w/ outdoor Patio Deck,East Harlem,40.80834,-73.94075,Entire home/apt,80,30,36,315,0
181,Luxury HiRise XL 1BR Skyline views,Hell's Kitchen,40.75523,-73.99792,Entire home/apt,299,30,52,0,0
182,One Bedroom Mini studio - Free WIFI,Astoria,40.77507,-73.93367,Entire home/apt,119,7,230,338,0
183,Deluxe Harlem 2 Bedroom,Harlem,40.80874,-73.94926,Entire home/apt,149,30,47,77,0
184,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",Greenpoint,40.72364,-73.95013,Entire home/apt,75,30,3,0,0
185,Bright Cozy Chinatown Studio Apt.,Lower East Side,40.71911,-73.98588,Entire home/apt,150,30,322,338,0
186,Room in Willyburg Loft (Only Long Stays),Williamsburg,40.71407,-73.96657,Private room,100,28,3,365,1
187,Superior @ Box House,Greenpoint,40.73777,-73.95366,Hotel room,199,3,38,357,3
188,Cozy room in East Village with AC,East Village,40.72322,-73.98615,Private room,55,2,198,93,1
189,Duplex w/ Terrace @ Box House Hotel,Greenpoint,40.73756,-73.9535,Hotel room,349,3,10,16,3
190,Loft w/ Terrace @ Box House Hotel,Greenpoint,40.73777,-73.95366,Private room,349,3,7,25,1
191,Spacious 3 Bedroom Duplex in Park Slope,Park Slope,40.67407,-73.98105,Entire home/apt,69,30,37,0,0
192,Loft w/ Terrace @ Box House Hotel,Greenpoint,40.73777,-73.95366,Private room,349,3,2,25,1
193,Columbia Castle in Brooklyn Heights,Brooklyn Heights,40.69418,-73.99775,Private room,100,1,67,0,1
194,Columbia Castle 2 BR,Brooklyn Heights,40.69246,-73.99828,Entire home/apt,200,30,99,85,0
195,"Charming Artist's Flat, East Village",East Village,40.72408,-73.98154,Entire home/apt,135,30,275,348,0
196,BEAUTIFUL 2 BEDROOM APARTMENT,Bedford-Stuyvesant,40.68433,-73.94469,Entire home/apt,150,30,73,318,0
197,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,Bushwick,40.68769,-73.91788,Entire home/apt,75,30,250,339,0
198,Ft. Greene gem with back yard & private entrance,Fort Greene,40.68871,-73.97322,Entire home/apt,150,30,6,150,0
199,East Village Designer's 1-BR APT,East Village,40.7245,-73.97946,Entire home/apt,229,30,44,0,0
200,Superior @ Box House,Greenpoint,40.73777,-73.95366,Hotel room,199,3,17,356,3
201,1 BR apt near Midtown Manhattan,Long Island City,40.74575,-73.94686,Entire home/apt,75,30,12,8,0
202,wonderful sleep 4,Crown Heights,40.67823,-73.94719,Entire home/apt,80,30,238,334,0
203,MAISON DES SIRENES 2,Bedford-Stuyvesant,40.68413,-73.93817,Entire home/apt,140,2,114,285,0
204,Large Sunny 1BR (Conv 2BR) Apt in Crown Heights Bk,Crown Heights,40.67654,-73.94629,Entire home/apt,101,1,16,128,0
205,The Vernon On Greene,Bedford-Stuyvesant,40.69157,-73.93257,Entire home/apt,127,2,400,9,0
206,"Beautiful, Brightâ€™s, Warm & Spacious 1.5BR Apt",Crown Heights,40.6736,-73.9551,Entire home/apt,130,6,120,331,0
207,Lovely 1BR in Tree-lined WBurg,Williamsburg,40.71167,-73.94932,Entire home/apt,140,7,15,22,0
208,Spacious Loft in Clinton Hill,Bedford-Stuyvesant,40.69304,-73.95417,Entire home/apt,200,6,6,1,0
209,Groovy NYC Chelsea Pad,Chelsea,40.75077,-73.99657,Entire home/apt,130,30,19,127,0
210,Sunny Bklyn Jewel  Fort Greene,Fort Greene,40.6867,-73.97469,Entire home/apt,123,30,24,122,0
211,Your Cozy Home - Center of New York,Lower East Side,40.72015,-73.99104,Entire home/apt,135,30,28,1,0
212,Large Brand New Park Slope 1BR,Gowanus,40.66952,-73.99201,Entire home/apt,130,30,109,71,0
213,Greenwich Village Brownstone -- Huge Private Deck,Chelsea,40.74056,-74.00143,Entire home/apt,222,30,35,247,0
214,Colorful Artistic Williamsburg Apt w/ 3 Bedrooms,Williamsburg,40.71116,-73.95484,Private room,180,30,38,0,1
215,Cozy+well equipped top fl apt - PRIME Williamsburg,Williamsburg,40.71551,-73.96274,Entire home/apt,310,7,140,351,0
216,2 BR w/ Terrace @ Box House Hotel,Greenpoint,40.73778,-73.95366,Private room,563,3,9,1,1
217,Holiday special near Columbia Univ!,Harlem,40.81919,-73.95443,Private room,80,30,144,90,1
218,Bright Room With A Great River View,Harlem,40.82772,-73.95284,Private room,74,5,427,313,1
219,Tree lined block modern apartment,Bedford-Stuyvesant,40.68647,-73.95862,Entire home/apt,145,2,115,69,0
220,Sweet Historic Greenpoint Duplex,Greenpoint,40.72741,-73.95466,Entire home/apt,175,3,295,318,0
221,Riverside Charm with Fire Place,Upper West Side,40.78073,-73.98564,Entire home/apt,165,30,61,282,0
222,"Nomad/Chelsea Loft Studio, big work space, 2 desks",Chelsea,40.74589,-73.99082,Entire home/apt,154,30,70,323,0
223,Sunny 3BR Apt Ideal for Family,Crown Heights,40.67541,-73.96294,Entire home/apt,165,30,3,335,0
224,Cozy Private Room in West Harlem!,Harlem,40.8069,-73.95372,Private room,90,30,1,0,1
225,ALL ABOUT A VERY COMFORTABLE ROOM..,Fort Greene,40.69132,-73.97306,Private room,95,30,177,365,1
226,Rm in Beautiful Luxury Apt. Bldg,Fort Greene,40.6905,-73.97867,Private room,90,30,0,0,1
227,Brooklyn- Crown Heights Garden Apt.,Crown Heights,40.67582,-73.9518,Private room,55,30,270,357,1
228,Large Park Slope Townhouse Duplex,South Slope,40.66562,-73.99002,Entire home/apt,235,364,34,362,0
229,Sun-Drenched Hamilton Hts Jewel,Harlem,40.82402,-73.95263,Private room,65,30,34,289,1
230,1 BDRM Apt-Weekend Sublease,Astoria,40.76406,-73.92266,Entire home/apt,85,5,34,32,0
231,Beautiful Harlem Studio Apartment - private access,Harlem,40.80384,-73.95123,Entire home/apt,70,30,172,92,0
232,Style in Stuyvesant Heights,Bedford-Stuyvesant,40.68462,-73.92895,Entire home/apt,95,30,86,336,0
233,Spacious Brooklyn Loft - 2 Bedroom,Williamsburg,40.71983,-73.95992,Entire home/apt,250,30,57,77,0
234,"Park Slope Apt:, Spacious 2 bedroom",Park Slope,40.6755,-73.98137,Entire home/apt,165,2,26,120,0
235,NYC Studio for Rent in Townhouse,Harlem,40.80617,-73.94757,Entire home/apt,102,3,197,327,0
