,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
139,Queen Anne Victorian in the Heart of Denver,Whittier,39.75661,-104.97199,Entire home/apt,473,2,54,231,0
140,Modern Guest House in Berkeley Lake,Berkeley,39.77658,-105.04629,Entire home/apt,150,30,239,45,0
141,"Newly Renovated 1890 Denver Queen Anne, sleeps 10",Baker,39.71861,-104.99062,Entire home/apt,557,29,69,66,0
142,Modern Historic Carriage House in Central Denver,North Park Hill,39.7524,-104.92175,Entire home/apt,149,2,430,142,0
143,Cozy-Cool Highlands Cottage,West Highland,39.76387,-105.03138,Entire home/apt,125,30,27,305,0
144,Historic & Fresh Home in RiNo,Five Points,39.75731,-104.98313,Entire home/apt,144,30,418,36,0
145,Full of Character AND Comfortable !,Congress Park,39.73975,-104.94838,Entire home/apt,134,1,410,68,0
146,Living Room For Rent in 1 BR Apt,West Colfax,39.74034,-105.02864,Private room,60,29,0,0,1
147,Kid Friendly Home-Great Location with Sauna,Hale,39.72904,-104.92346,Entire home/apt,175,29,11,193,0
148,Cozy Congress Park House with great walk-ability!,Congress Park,39.73524,-104.94417,Entire home/apt,175,29,55,0,0
149,Sunny Condo! Close To Downtown!,Hale,39.73116,-104.93282,Entire home/apt,78,29,32,148,0
150,CHERRY CREEK NORTH! Long-Term Only (30+Days),Cherry Creek,39.72322,-104.95696,Entire home/apt,125,30,12,162,0
151,1910 Bungalow in Park Hill (2016-BFN-0008399),South Park Hill,39.74946,-104.9246,Private room,115,3,266,364,1
152,"Sunny, Classic, Central Row Home",Skyland,39.76103,-104.95809,Entire home/apt,104,29,76,1,0
153,Updated Downtown Apartment in Baker with Off-Street Parking,Baker,39.71749,-104.99085,Entire home/apt,122,2,369,77,0
154,☀░ Downtown High Rise SPIRE - Furnished 1br ☀,CBD,39.74563,-104.99452,Entire home/apt,75,60,2,3,0
155,Exceptional Loft Living,Union Station,39.75695,-105.00419,Entire home/apt,130,30,2,65,0
156,Just discounted 10% for Jan/pet friendly,Hilltop,39.72216,-104.90396,Entire home/apt,226,3,148,323,0
157,Spring break stay! Cozy Cap Hill condo *30 day min,Capitol Hill,39.73483,-104.9757,Entire home/apt,70,30,17,101,0
158,Uptown Modern Victorian Condo,North Capitol Hill,39.74461,-104.97516,Entire home/apt,105,30,33,207,0
159,Warm & Inviting Home in a Great Location,Washington Virginia Vale,39.70648,-104.9293,Private room,204,3,65,148,1
160,Charming Victorian in Curtis Park,Five Points,39.75415,-104.98173,Entire home/apt,175,4,44,195,0
161,Cozy Studio in Berkeley/Highlands--Denver's Best!,West Highland,39.76902,-105.04846,Entire home/apt,83,2,355,115,0
162,WIN! Best location*Quiet*Balcony*  CLOROX CLEAN!,City Park West,39.74245,-104.9681,Entire home/apt,55,30,39,260,0
163,ExecCornerPenthouse-the BEST views,Five Points,39.74883,-104.98009,Entire home/apt,170,90,0,290,0
164,Quiet suite in private duplex with great park view,Washington Park,39.70212,-104.97209,Private room,88,1,3,23,1
165,Victorian 1BR Apt Sobo/Baker/W Wash,Speer,39.71826,-104.98406,Entire home/apt,79,29,45,264,0
166,Denver's Santa Fe Arts District,Lincoln Park,39.72644,-104.9963,Entire home/apt,134,30,74,269,0
167,RiNo Den,Five Points,39.7574,-104.98677,Entire home/apt,124,2,382,255,0
168,1938 Updated Park Hill 4 bedroom,South Park Hill,39.75022,-104.91454,Entire home/apt,600,4,9,211,0
169,Private Spacious Comfortable Studio on Bear Creek!,Bear Valley,39.65778,-105.06633,Entire home/apt,75,7,279,128,0
170,LoHi Denver Cozy Cottage 2BD STR#2019-BFN-0003753,Highland,39.76294,-105.01121,Entire home/apt,114,29,326,293,0
171,Urban Nest in heart of Denver,City Park West,39.74205,-104.96191,Entire home/apt,147,1,249,345,0
172,Historic Capitol Hill Mansion,Capitol Hill,39.73377,-104.9807,Private room,96,2,210,334,1
173,"Cozy Cottage in Lo Highlands, 2nd b",Highland,39.76822,-105.00249,Private room,73,30,0,212,1
174,Downtown Denver Union Station LoDo Loft Retreat,Union Station,39.75351,-105.0037,Entire home/apt,122,29,150,0,0
175,Historic Retreat on Highland Square,West Highland,39.76284,-105.03391,Entire home/apt,100,29,358,129,0
176,Artist's Home in Denver's Heart,Whittier,39.75888,-104.96588,Entire home/apt,77,31,16,1,0
177,Immaculate - Downtown Curtis Park,Five Points,39.75543,-104.98131,Entire home/apt,129,29,260,285,0
178,2 bedroom 2 baths  Mt Views sleeps 4,Capitol Hill,39.73579,-104.98047,Entire home/apt,113,60,13,332,0
179,"Modern, clean, great location in Highlands",Highland,39.76249,-105.01657,Entire home/apt,115,30,92,1,0
180,Cozy Bedroom in Congress Park 2,Congress Park,39.73688,-104.94289,Private room,42,31,76,181,1
181,Large  Queen size Bedroom Denver DTC  I-25 / I-225,Hampden South,39.64721,-104.8867,Private room,60,5,31,365,1
182,2000 Square Foot-Denver Lodo,Union Station,39.75007,-104.99521,Entire home/apt,295,30,0,363,0
183,Bright Cap Hill Apt w/parking and free laundry.,Capitol Hill,39.73679,-104.97994,Entire home/apt,120,90,42,0,0
184,Charming Urban Loft Near Downtown,Civic Center,39.73183,-104.99016,Entire home/apt,175,30,9,365,0
185,"NEWLY RENOVATED-walk to RiNo, Ballpark, & Downtown",Five Points,39.75218,-104.9836,Entire home/apt,157,30,209,27,0
