,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
2737,"Waterfront Pearl , Awesome Views, w/Parking",Old Town/Chinatown,45.53053,-122.67574,Entire home/apt,85,30,4,364,0
2738,Charming Urban Cottage in Alberta Arts District,Vernon,45.56116,-122.64579,Entire home/apt,161,5,2,68,0
2739,Sweetest Boho Bungalow in North Portland,Overlook,45.55627,-122.68746,Entire home/apt,160,2,26,0,0
2740,"Modern, Bright & Large 2 Bed Studio-Pets welcome!",Woodstock,45.48373,-122.60904,Entire home/apt,98,2,61,332,0
2741,Hipster Vibe Apartment - Food Carts & Live Music,Boise,45.5527,-122.67469,Entire home/apt,115,1,131,0,0
2742,Mt.Tabor tranquil getaway,Mt. Tabor,45.51407,-122.58777,Entire home/apt,128,7,4,0,0
2743,Guest Unit in Walkable Sellwood,Sellwood-Moreland Improvement League,45.46534,-122.64642,Entire home/apt,85,1,26,0,0
2744,New and Modern by SE Division,Hosford-Abernethy,45.50139,-122.64809,Entire home/apt,84,2,56,187,0
2745,The RoseBud & Barkfest Studio with Private Entry,Sunnyside,45.5141,-122.61949,Entire home/apt,144,2,71,37,0
2746,"Light-Filled 2BR ""Down Under"" in Williams Corridor",Boise,45.54935,-122.66747,Entire home/apt,176,4,12,2,0
2747,Casita Maria- Daylight Apartment,University Park,45.58018,-122.71807,Entire home/apt,70,30,4,98,0
2748,Luxe Pearl District Apt. in Downtown w/ Rooftop,Pearl,45.5252,-122.68653,Entire home/apt,209,2,72,339,0
2749,"Luxury Flat With King Bed, Just Steps From NW 23rd!",Northwest District,45.52749,-122.69844,Entire home/apt,89,30,7,97,0
2750,Two-Story Downtown Home with a Furnished Balcony - Walk Everywhere!,Northwest District,45.52823,-122.68903,Entire home/apt,279,1,25,339,0
2751,"Ultra Rare, Contemporary Portland Waterfront Condo",Old Town/Chinatown,45.52879,-122.67216,Entire home/apt,210,2,13,348,0
2752,"Beautiful, cozy apartment near everything you need",Beaumont-Wilshire,45.55472,-122.62183,Entire home/apt,93,2,31,355,0
2753,Cozy Cabin Vibes in Prized Location,Irvington,45.53724,-122.6405,Entire home/apt,229,2,13,346,0
2754,Exceptional Close-in Portland Location,Richmond,45.50974,-122.63215,Entire home/apt,92,2,52,102,0
2755,"Big, Comfy Craftsman Home in Woodlawn/Concordia",Woodlawn,45.56975,-122.64693,Entire home/apt,266,3,18,22,0
2756,The Westview in Foster-Powell,Foster-Powell,45.49582,-122.588,Entire home/apt,76,1,3,138,0
2757,"Eco Friendly Camping, In Adorable Tiny Home!",Montavilla,45.51127,-122.57357,Entire home/apt,60,1,36,294,0
2758,Color Splash Apartment in the Heart of Hawthorne,Buckman,45.51337,-122.63913,Entire home/apt,68,1,113,306,0
2759,Stunning Renovated Apt - 92 WalkScore - Sleeps 6,Buckman,45.51319,-122.641,Entire home/apt,105,1,131,342,0
2760,Private Guest Apartment in NE Portland,Montavilla,45.5322,-122.58741,Entire home/apt,73,1,88,90,0
2761,NW Portland Studio,Northwest District,45.52578,-122.69519,Entire home/apt,71,30,6,193,0
2762,Chef's Kitchen & Fenced Yard (420 & Dog Friendly),Arlington Heights,45.51833,-122.71107,Entire home/apt,160,30,5,56,0
2763,Relax in comfort | 1BR in Portland,Bridlemile,45.48478,-122.74825,Entire home/apt,174,365,0,365,0
2764,Cozy Private Alberta Arts Studio - Fast WiFi 100mb,Concordia,45.56343,-122.63615,Entire home/apt,77,2,48,77,0
2765,"Overlook Cottage, Upscale 2 bedroom and 2 bath",Overlook,45.55261,-122.68402,Entire home/apt,160,2,44,114,0
2766,BlackBox  Luxurious historic restoration with 5 beds!,Kenton,45.58841,-122.70096,Entire home/apt,125,2,71,345,0
2767,"The Bohemian Spirit - Live Music, Eateries + Bars",Boise,45.55285,-122.6768,Entire home/apt,116,1,141,0,0
2768,Unobstructed Mount Hood views await!,West Portland Park,45.44185,-122.72051,Entire home/apt,78,30,4,183,0
2769,You are Invited to Stay Portlandic,Humboldt,45.55541,-122.67362,Entire home/apt,68,31,1,153,0
2770,New Modern Build - 2 Bedroom with Office in SE PDX,Buckman,45.52065,-122.64969,Entire home/apt,300,30,4,172,0
2771,Village home surrounded by rivers and forests,St. Johns,45.59918,-122.75027,Entire home/apt,110,30,1,144,0
2772,"Modern Vaulted ceilings Home, So much light!",Cathedral Park,45.59495,-122.76129,Entire home/apt,230,1,23,80,0
2773,Long Stay Discount Riverview NW Portland,Old Town/Chinatown,45.53139,-122.67477,Entire home/apt,94,30,5,167,0
2774,A Studio for Rent,Maplewood,45.47261,-122.73997,Entire home/apt,200,1,0,89,0
2775,A Home From Home | 1 BD Getaway | Kids Friendly,South Burlingame,45.46303,-122.68536,Entire home/apt,104,1,38,136,0
2776,The hidden gem,Rose City Park,45.54767,-122.60215,Entire home/apt,89,30,3,93,0
2777,Vibrant Iconic Portland Home in Heart of Division,Richmond,45.50565,-122.62237,Entire home/apt,185,2,93,337,0
2778,Private Cozy NE Guesthouse Close to Everything!,Eliot,45.54073,-122.66441,Entire home/apt,36,25,10,35,0
2779,33rd Avenue Studio,Richmond,45.50052,-122.63264,Entire home/apt,65,2,38,144,0
2780,Cozy 1 BR in the Charming St. John's Neighborhood,St. Johns,45.59394,-122.73521,Private room,45,1,4,78,1
2781,*Brand New Modern Woods Home,Forest Park,45.58612,-122.80481,Entire home/apt,125,10,2,5,0
2782,Unique and Charming Basement Apartment Near PSU,Portland Downtown,45.51634,-122.68519,Entire home/apt,71,1,69,266,0
2783,Cozy & Calm King Bedroom Near PDX,Parkrose,45.55068,-122.54239,Private room,25,30,2,253,1
2784,Easy & Cozy Extended Stay Queen Bedroom Near PDX,Parkrose,45.55062,-122.54289,Private room,25,30,2,263,1
2785,Close In SE Folk Victorian,Hosford-Abernethy,45.50863,-122.65347,Entire home/apt,125,31,3,293,0
2786,Alberta House,Concordia,45.56175,-122.63834,Entire home/apt,120,3,27,159,0
2787,"Beautiful, Spacious Home SW Portland",Multnomah,45.47064,-122.71484,Entire home/apt,429,2,2,42,0
2788,Private apt in Alphabet District/Nob Hill,Northwest District,45.52448,-122.69798,Entire home/apt,105,2,10,150,0
2789,Modern and Bright Laurelhurst Abode,Laurelhurst,45.52044,-122.61889,Entire home/apt,124,2,31,149,0
2790,The Launchpad: Tiny Home Heaven In SE Portland!,Foster-Powell,45.49145,-122.59912,Entire home/apt,93,1,84,150,0
2791,1 Bedroom Condo*Wyndham Portland Water Front Park,Old Town/Chinatown,45.52004,-122.67209,Entire home/apt,230,3,0,89,0
2792,"Portland, OR - Entire Studio Condo",Old Town/Chinatown,45.52011,-122.67042,Entire home/apt,222,2,0,269,0
2793,"Portland, OR - Entire 1 Bedroom Condo",Old Town/Chinatown,45.52129,-122.67023,Entire home/apt,286,2,0,269,0
2794,Spacious Historic Home-Near Great Food & Shopping,Sunnyside,45.51859,-122.63182,Entire home/apt,154,30,5,103,0
2795,Guests Will Play While I'm Away,Kenton,45.57954,-122.68814,Entire home/apt,147,2,5,108,0
2796,Charming metropolitan home  in Portland,Montavilla,45.50671,-122.57327,Entire home/apt,89,30,3,79,0
2797,Lively and Cozy Portland home. Sleeps 10.,Piedmont,45.56944,-122.66289,Entire home/apt,416,2,64,347,0
2798,Riverfront Relaxation!,East Columbia,45.6015,-122.66772,Entire home/apt,124,1,66,128,0
2799,Beautiful Home Close to OHSU and South Waterfront!,South Portland,45.49665,-122.67506,Entire home/apt,179,30,5,179,0
2800,Empty Nest Urban Micro Vineyard,Roseway,45.55378,-122.59858,Entire home/apt,95,1,53,257,0
2801,"FoPo Craftsman, Vintage Charm and Comfort",Mt. Scott-Arleta,45.48501,-122.58604,Entire home/apt,150,3,3,4,0
2802,Cozy One Bedroom Condo NW/Pearl District,Northwest District,45.52759,-122.69217,Entire home/apt,150,7,0,365,0
2803,Private Room (Single Bed) in NW Portland,Northwest District,45.52684,-122.68856,Private room,77,1,13,364,1
2804,#StayinMyDistrict Sellwood The Coco Rose Retreat,Sellwood-Moreland Improvement League,45.46788,-122.65313,Entire home/apt,60,1,85,105,0
2805,Historic Mississippi - Live Music & Local Shops,Boise,45.55402,-122.67645,Entire home/apt,95,1,91,0,0
2806,Cozy Private Basement Suite and Bathroom,Powellhurst-Gilbert,45.49349,-122.54042,Entire home/apt,61,2,28,73,0
2807,Private entrance luxury near downtown walk to food,King,45.55608,-122.66177,Private room,111,1,8,179,1
2808,Modern iNNer PDX! Private bathroom. Walk 2 food,King,45.55575,-122.65992,Private room,72,1,26,178,1
2809,"Modern, cozy escape in Montavilla! (Entire House)",Montavilla,45.51173,-122.56679,Entire home/apt,300,2,28,9,0
2810,Walk to Alberta/Williams Family+Pet Friendly Home,King,45.5566,-122.66371,Entire home/apt,130,2,43,22,0
2811,Irvington Sanctuary,Irvington,45.54822,-122.65495,Entire home/apt,195,30,2,138,0
2812,Division House,Hosford-Abernethy,45.50597,-122.65476,Entire home/apt,175,2,42,79,0
2813,Modern Open Plan NoPo 2bd/2br - Entertaining Dream,University Park,45.58014,-122.72662,Entire home/apt,202,2,2,4,0
2814,Luxury 2bed/2bath Suite Steps From 23rd Avenue!,Northwest District,45.52697,-122.69794,Entire home/apt,149,30,0,282,0
2815,Beautiful Bright Abernathy,Hosford-Abernethy,45.50143,-122.64779,Private room,48,1,36,276,1
2816,Creative 1-bedroom craftsman style home,Concordia,45.57304,-122.63306,Entire home/apt,125,3,0,0,0
2817,Stunning luxury apt on river with a panoramic view,Hayden Island,45.60553,-122.65376,Entire home/apt,252,2,8,68,0
2818,Master Bedroom near Alberta Arts & Mississippi,King,45.55467,-122.65889,Private room,59,1,57,84,1
2819,New LUXURY carpet TV fridge walk to food!,King,45.55586,-122.65992,Private room,43,1,26,327,1
2820,"Portland, OR - Entire 2 Bedroom Condo",Old Town/Chinatown,45.51989,-122.67036,Entire home/apt,399,2,0,269,0
2821,"Walkable Sanctuary near Shops, Dining & Downtown!",Humboldt,45.55469,-122.67633,Entire home/apt,175,1,46,252,0
2822,Renovated Mid Century Close to Alberta,Vernon,45.56495,-122.65151,Entire home/apt,150,30,0,362,0
2823,Historic St. Johns 1909 Farmhouse,St. Johns,45.59644,-122.75333,Entire home/apt,600,5,5,179,0
2824,Family Friendly Modern Bright (pics upon request),Hosford-Abernethy,45.50308,-122.64627,Entire home/apt,325,30,0,75,0
2825,Quaint Condo Near NW 21st,Northwest District,45.52933,-122.68939,Entire home/apt,75,31,2,180,0
2826,"Little Red Barn - Contactless, Clean & Private",Cully,45.55293,-122.60731,Entire home/apt,90,2,48,88,0
2827,Alberta Arts District 2 private bedrooms/bathroom,Sabin,45.55378,-122.65308,Private room,165,1,48,173,1
2828,Furnished 1-bedroom apartment @ NW Portland Hostel,Northwest District,45.52637,-122.69081,Entire home/apt,142,1,4,335,0
2829,Cozy Alberta Arts Bungalow for Longer Stays,Sabin,45.55536,-122.64922,Entire home/apt,75,30,6,242,0
2830,Cozy Alberta Arts Studio for Longer Stays,Sabin,45.55682,-122.64952,Entire home/apt,48,30,3,147,0
2831,Cozy Private Nob Hill Apartment,Northwest District,45.53189,-122.69991,Entire home/apt,123,1,8,123,0
2832,Cheerful Urban Living by Waterfront with Views,South Portland,45.49779,-122.67078,Entire home/apt,89,31,1,1,0
2833,WATERFRONT condo with private balcony with PARKING,Old Town/Chinatown,45.52683,-122.67284,Entire home/apt,130,30,3,59,0
2834,"Ideal Southeast Portland Location, Walk to Food, Drinks & Entertainment, Downtown Portland 3 Miles",Richmond,45.50695,-122.63115,Entire home/apt,85,2,26,360,0
2835,Modern luxury near the heart of NE Portland,Eliot,45.54163,-122.65979,Entire home/apt,493,3,5,172,0
2836,Cozy Guesthouse in Quiet Neighborhood,Rose City Park,45.54434,-122.61045,Entire home/apt,98,2,14,7,0
2837,Peaceful Studio Cottage,Portsmouth,45.5891,-122.72306,Entire home/apt,112,3,29,83,0
2838,Brightly lit 2bd in a great location!,Sunnyside,45.51614,-122.63187,Entire home/apt,120,2,7,32,0
2839,Cozy Oasis,Mt. Scott-Arleta,45.48294,-122.5898,Entire home/apt,89,2,20,102,0
2840,#StayInMyDistrict Multnomah Village & Hillsdale,Hillsdale,45.48187,-122.70806,Entire home/apt,80,1,37,172,0
2841,Modern 1 Bedroom Apartment - Min 30 day stay,Richmond,45.49872,-122.63321,Entire home/apt,59,30,5,172,0
2842,"The Graffiti Alley Tiny House - Food, Art & Beer",Concordia,45.56366,-122.63813,Entire home/apt,68,1,147,340,0
2843,Serene beauty in Portland Hills,Southwest Hills,45.50627,-122.68562,Entire home/apt,200,2,0,89,0
