,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
88,Lone Mountain Pied A Terre,Inner Richmond,37.77664,-122.45586,Entire home/apt,104,30,78,57,0
89,Modern Architectural Gem - 4 Bdrm,Noe Valley,37.75635,-122.42864,Entire home/apt,1250,5,30,114,0
90,Garden Studio,Castro/Upper Market,37.75848,-122.43246,Private room,150,5,78,180,1
91,"Stylish, Spacious and Quiet Flat!",Outer Richmond,37.7844,-122.47932,Entire home/apt,375,5,219,194,0
92,Cozy Room in Eclectic SF Farmhouse!,Bernal Heights,37.74509,-122.4073,Private room,77,30,146,0,1
93,Lake Street Single Family Home,Inner Richmond,37.78546,-122.46148,Entire home/apt,495,3,20,76,0
94,Prime Location - Small Basic Room,Pacific Heights,37.79233,-122.42431,Private room,53,30,120,365,1
95,Best Views in all of San Francisco,Diamond Heights,37.74633,-122.44591,Entire home/apt,170,30,110,357,0
96,Romantic Marina Garden Studio,Marina,37.79961,-122.42771,Entire home/apt,80,30,113,261,0
97,Ground Floor Studio with Garage Parking,Twin Peaks,37.75045,-122.44956,Entire home/apt,70,30,92,324,0
98,Cute Private 2Br Apt in the Mission with Parking!,Mission,37.75981,-122.4188,Entire home/apt,149,30,129,326,0
99,DOWNEY STREET - Victorian Flat,Haight Ashbury,37.76973,-122.44695,Entire home/apt,132,30,165,0,0
100,FINANCIAL DIST: Gino's Cozy Getaway,Financial District,37.79203,-122.40284,Entire home/apt,110,30,25,328,0
101,FIN. DIST: Mario's Studio Penthouse,Chinatown,37.79175,-122.4045,Entire home/apt,135,30,52,332,0
102,"Family-Friendly Flat In San Francisco, CA. USA",Glen Park,37.73604,-122.43777,Entire home/apt,220,3,280,324,0
103,Private Entrance Garden Studio,Haight Ashbury,37.77444,-122.44969,Entire home/apt,138,2,497,0,0
104,Nice Rooms With Private 1/2 Bath,Noe Valley,37.75117,-122.42567,Private room,120,30,63,156,1
105,Fully Furnished 1 bedroom apartment,North Beach,37.80356,-122.40437,Entire home/apt,140,30,3,187,0
106,"3 Bdrm City View Home w/Parking, deck,",Diamond Heights,37.74325,-122.43756,Entire home/apt,295,2,478,240,0
107,Cozy fully furnished one bedroom apartment in SF,Downtown/Civic Center,37.78897,-122.41245,Entire home/apt,199,30,78,364,0
108,Virtually Your Own Apt in Nth Beach,Russian Hill,37.80121,-122.41339,Entire home/apt,160,3,526,3,0
109,Luxury Modern Loft,South of Market,37.76996,-122.4038,Entire home/apt,225,30,5,337,0
110,Haight Ashbury Experience Room 2,Haight Ashbury,37.77255,-122.44985,Private room,68,1,529,355,1
111,Spacious Garden-Level Apartment,Western Addition,37.77625,-122.42863,Entire home/apt,130,30,25,322,0
112,Haight Ashbury Experience Room 1,Haight Ashbury,37.77085,-122.44814,Private room,68,1,498,362,1
113,Haight Ashbury Experience Room 4,Haight Ashbury,37.77175,-122.45012,Private room,68,1,558,339,1
114,Great Ashbury Studio in SF  A3,Haight Ashbury,37.76551,-122.44614,Entire home/apt,90,30,50,337,0
115,Balcony on Fillmore Street +Parking,Western Addition,37.78618,-122.43209,Entire home/apt,200,30,87,306,0
116,Haight Ashbury Experience Room 3,Haight Ashbury,37.77031,-122.44948,Private room,68,1,476,346,1
117,Single Bed In Dorm At Downtown Hostel #3,Financial District,37.7937,-122.40417,Shared room,35,1,368,90,2
118,Bernal pied-à-terre,Bernal Heights,37.73825,-122.41451,Entire home/apt,135,30,18,0,0
119,Nob Hill Mini Mansion,Nob Hill,37.79278,-122.41007,Entire home/apt,1000,1,72,348,0
120,Mid-Century Garden Flat in Charming Upper Castro Victorian,Castro/Upper Market,37.75751,-122.44016,Entire home/apt,250,30,82,183,0
121,Lovely Private Suite Near UCSF- Monthly Only,Inner Sunset,37.75893,-122.4664,Entire home/apt,99,30,113,337,0
122,Spacious SF Getaway Near The Ocean,Parkside,37.74228,-122.50415,Entire home/apt,154,3,244,340,0
123,Bed In 8 Bed Dorm Near Financial District #4,Financial District,37.7937,-122.40417,Shared room,38,1,330,90,2
124,1 Bedroom near Ballet Symphony,Downtown/Civic Center,37.78353,-122.41997,Entire home/apt,129,30,8,326,0
125,Private entrance bd/bath by GG Park,Inner Richmond,37.77713,-122.456,Private room,100,2,382,304,1
126,Room with Bay Views,Bernal Heights,37.74344,-122.4066,Private room,68,30,16,0,1
127,Single Dorm Bed In Friendly Hostel Community #6,Financial District,37.7937,-122.40417,Shared room,38,1,264,85,2
128,Single Dorm Bed In Friendly Hostel Community #5,Financial District,37.7937,-122.40417,Shared room,38,1,222,88,2
129,Elegant Victorian Flat in Haight,Haight Ashbury,37.76761,-122.45139,Entire home/apt,250,2,154,57,0
130,Luxury Condo Downtown/ SoMa,South of Market,37.77907,-122.40503,Entire home/apt,81,30,110,203,0
131,"Private Room w/ 2 Queen Beds, Steps to Ocean Beach",Outer Sunset,37.75334,-122.50794,Private room,60,30,135,0,1
132,"Sunny Potrero Townhouse ""Nest""",Potrero Hill,37.75533,-122.39927,Entire home/apt,339,4,34,0,0
133,Newly remodeled clean/private bath,Outer Sunset,37.7517,-122.5051,Private room,79,3,99,56,1
134,"Sunny 3 BR home in the Mission, great location",Mission,37.75059,-122.41415,Entire home/apt,475,5,13,0,0
135,Bungalow Rooms with Great Views,West of Twin Peaks,37.73948,-122.44947,Private room,250,1,35,337,1
136,"Cozy, Charming Cottage nestled in a Quiet Garden",Glen Park,37.74102,-122.42815,Entire home/apt,85,30,215,88,0
137,Castro States Street View Penthouse,Castro/Upper Market,37.76349,-122.4397,Entire home/apt,199,30,4,178,0
138,Stylish Potrero Garden Flat for Two,Potrero Hill,37.75924,-122.38948,Entire home/apt,196,2,233,306,0
139,Garden Apartment Oasis with Lush Greenery and a Hot Tub,Castro/Upper Market,37.76066,-122.44102,Entire home/apt,299,2,223,269,0
140,"Lovely, garden studio apartment",Noe Valley,37.75314,-122.43724,Entire home/apt,169,7,66,268,0
141,North Beach Best Location and View,Financial District,37.79739,-122.4052,Entire home/apt,90,30,112,356,0
142,Pacific Heights 3 bedroom home,Pacific Heights,37.78946,-122.43538,Entire home/apt,325,30,50,305,0
143,2BR North Beach - Perfect for Business or Leisure,North Beach,37.80333,-122.40962,Entire home/apt,585,2,65,148,0
144,Small but practical studio in SF,Haight Ashbury,37.76547,-122.44616,Entire home/apt,60,30,28,196,0
145,Spacious & artsy 2br Dolores Park flat,Mission,37.76122,-122.42319,Entire home/apt,325,30,142,34,0
146,Lovely beautiful Apt Pac Fillmore,Western Addition,37.78457,-122.43177,Entire home/apt,199,30,32,356,0
147,"The Clock Tower, circa 1907.",South of Market,37.78377,-122.39275,Entire home/apt,250,30,6,0,0
148,Victorian Flat amongst the Trees.,Haight Ashbury,37.76699,-122.44643,Entire home/apt,150,30,115,197,0
149,Best area Bright LARGE Beautiful,Western Addition,37.78599,-122.43232,Private room,59,30,3,321,1
150,Large Victorian House in Castro,Castro/Upper Market,37.76235,-122.42969,Entire home/apt,662,4,19,9,0
151,"Sunny, garden view bedroom",Mission,37.75783,-122.41063,Private room,65,7,46,148,1
152,"Mid-Century Modern Flat, Central Locale",Western Addition,37.77201,-122.4297,Private room,90,30,23,186,1
153,"Private Garden Room- Near UCSF, Sutter Heath & DT",Presidio Heights,37.78146,-122.45619,Entire home/apt,60,30,245,120,0
154,Best location in San Francisco,Haight Ashbury,37.76646,-122.44425,Entire home/apt,134,3,340,290,0
155,Grand and Cozy 1920's SF Studio,Bernal Heights,37.74131,-122.41179,Entire home/apt,129,6,448,284,0
156,"Stylish Mission Condo, steps to Dolores Park",Mission,37.76015,-122.42098,Entire home/apt,355,2,38,12,0
157,Bernal Village Small Town San Fran,Bernal Heights,37.73812,-122.41807,Entire home/apt,229,3,119,61,0
158,Clean Well-lighted Place to Stay,Ocean View,37.72034,-122.46745,Private room,57,30,15,179,1
159,Luxury PanoView NoeValley Penthouse,Noe Valley,37.7488,-122.44064,Entire home/apt,189,30,72,364,0
160,Prime Location - Studio Apartment,Pacific Heights,37.79395,-122.42609,Entire home/apt,89,30,27,335,0
161,"Wild Garden unit  (coders' paradise, 1000 sq .ft.)",Mission,37.75686,-122.41019,Entire home/apt,110,30,28,299,0
162,San Francisco Pied-à-terre,Inner Richmond,37.7835,-122.47445,Private room,421,2,230,357,1
163,Penthouse Studio w Rooftop Deck!,Downtown/Civic Center,37.78136,-122.42112,Entire home/apt,118,30,15,334,0
164,Restful Room in a Condo with a Wood Fire,Outer Richmond,37.77902,-122.50376,Private room,111,3,289,365,1
165,Classic Room in the Heart of The Castro,Castro/Upper Market,37.758919,-122.434776,Private room,83,2,84,71,1
166,Right in the middle living,Western Addition,37.77528,-122.42706,Entire home/apt,150,30,20,0,0
167,OceanBeach2br2BathFreeParking!,Outer Sunset,37.7587,-122.5088,Entire home/apt,324,4,131,0,0
168,"Lux Furnished 3-bed. Bay Views, Huge Yard & Patio",Glen Park,37.74088,-122.43251,Entire home/apt,195,30,8,127,0
169,Charming Apt in the middle of SF F1,Western Addition,37.77477,-122.43225,Entire home/apt,90,30,25,303,0
170,Queen Size Bed in Private Room with Loft at Beach,Outer Sunset,37.7541,-122.50854,Private room,44,30,99,0,1
171,Modern 2BR/1BA Russian Hill Condo,Russian Hill,37.80436,-122.41913,Entire home/apt,149,30,44,252,0
172,Russian Hill Studio,Russian Hill,37.79932,-122.41488,Entire home/apt,125,30,3,62,0
173,Charming suite in West Portal area,Parkside,37.74033,-122.47144,Entire home/apt,160,30,451,303,0
174,Gorgeous Bernal Heights Studio Apartment,Bernal Heights,37.74797,-122.41111,Entire home/apt,165,3,268,310,0
175,Penthouse Panoramic View Home with Decks,Russian Hill,37.80109,-122.41385,Entire home/apt,399,2,42,265,0
176,"2 bedroom garden flat, heart of SF",Mission,37.76717,-122.42495,Entire home/apt,280,3,26,0,0
177,Private bath/Queen bdrm/Super Location,Mission,37.76761,-122.42474,Private room,125,1,308,0,1
178,Three cozy rooms in an SF Edwardian home!,Excelsior,37.72369,-122.42865,Private room,93,2,97,156,1
179,Sunny Home in Prime Bernal Heights,Bernal Heights,37.74125,-122.41368,Entire home/apt,315,4,22,0,0
180,Spacious Bright 3 br/2ba in Potrero Hill,Potrero Hill,37.75622,-122.39821,Entire home/apt,225,5,24,135,0
181,Mission District - Perfect Location,Mission,37.75884,-122.42232,Entire home/apt,125,30,187,332,0
182,Central San Francisco Urban Dream,Western Addition,37.77196,-122.43477,Entire home/apt,375,2,40,2,0
183,Spacious 1brm w/ breathtaking view,Outer Mission,37.72833,-122.44125,Entire home/apt,189,4,81,334,0
184,Comfortable space of your own in SF,Outer Richmond,37.77991,-122.48508,Entire home/apt,130,3,189,339,0
185,Contemporary Home with Mid-Century Modern Design,Haight Ashbury,37.77252,-122.43846,Entire home/apt,220,30,108,156,0
186,"Million Dollar Penthouse, Remodeled",Haight Ashbury,37.77265,-122.43857,Entire home/apt,350,30,115,0,0
187,★ Iconic Marina Waterfront ★ Walk/Bike Score 94+,Marina,37.80489,-122.43746,Entire home/apt,269,2,97,180,0
188,Come stay in Bernal Heights!!,Bernal Heights,37.74154,-122.4086,Entire home/apt,206,30,10,180,0
189,Lrg Sunny Flat/1 Blk fr Lombard St,Russian Hill,37.801,-122.42436,Entire home/apt,126,31,79,328,0
190,Amazing Private Room w/View in Beautiful SF Flat,Bayview,37.73852,-122.39215,Private room,62,30,11,87,1
191,"Sunny, quiet private room with parking",Excelsior,37.71727,-122.43644,Private room,92,2,30,279,1
