,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
150,New Stylish Modern Studio,Roxbury,42.31907,-71.09252,Entire home/apt,80,20,122,53,0
151,"Sunlit w/ huge kitchen, parking & easy to downtown",Brighton,42.35564,-71.15746,Entire home/apt,205,4,49,0,0
152,4th of July Dream Spot!,Back Bay,42.351,-71.08899,Entire home/apt,248,91,27,0,0
153,Luxury Beacon Hill Apartment 1-BR,Beacon Hill,42.35884,-71.06332,Entire home/apt,288,91,252,257,0
154,"Beautiful, Quiet, and Safe!",West Roxbury,42.29742,-71.157,Entire home/apt,119,91,4,0,0
155,The Roseclair w/Central AC! | 3BR 1BA w/En-Suite HdTV's | 2nd Floor near UMass Boston Redline T station!,Dorchester,42.32213,-71.06094,Entire home/apt,119,30,31,291,0
156,Beacon Hill!! Feet Fom State House,Downtown,42.35844,-71.06153,Entire home/apt,100,91,0,0,0
157,The Artist room in beautiful villa.,Roslindale,42.28037,-71.13669,Private room,50,28,32,232,1
158,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",Roxbury,42.32843,-71.09369,Entire home/apt,167,91,254,358,0
159,Immaculate space with off street parking!,Dorchester,42.28512,-71.07672,Shared room,110,91,5,364,2
160,Parking Close 2 Downtown Renovated,Roxbury,42.31676,-71.08,Private room,38,150,6,365,1
161,2 bedroom condo in Downtown Boston,North End,42.3636,-71.05367,Entire home/apt,225,31,50,113,0
162,Small Rm +walk-in closet Easy to Longwood/Downtown,Roxbury,42.31676,-71.08,Private room,33,150,0,365,1
163,Grand Colonial in Historic Boston.,Charlestown,42.37358,-71.06309,Entire home/apt,160,32,277,244,0
164,2 Bedroom Modern City Condo,South Boston,42.33526,-71.05216,Entire home/apt,414,3,8,43,0
165,Beacon Hill Fabulous One Bedroom Apartment,Beacon Hill,42.35792,-71.06432,Entire home/apt,125,29,242,113,0
166,The Hedges: Sunny urban garden home with breakfast,Jamaica Plain,42.31016,-71.10582,Private room,94,29,128,30,1
167,Minutes to Boston-Near Beach 69-1,East Boston,42.38679,-71.00271,Private room,42,91,91,90,1
168,"Sensational South End- 2BR, no stairs, Location!",South End,42.33765,-71.07434,Entire home/apt,150,29,346,50,0
169,Sunlit room with private bath,Jamaica Plain,42.31826,-71.09956,Private room,90,29,181,90,1
170,"""Room with a View""  from ""Top of the Hill""",Roslindale,42.28289,-71.14078,Private room,85,91,26,364,1
171,"North End, 1 Bed Apt w/ office, Boston",North End,42.36722,-71.05266,Entire home/apt,229,14,59,0,0
172,Sanitized Modern 3BD private home-near BCEC,South Boston,42.3357,-71.05395,Entire home/apt,240,1,678,258,0
173,Sunny Private Studio Aptmt,Jamaica Plain,42.30385,-71.1151,Entire home/apt,125,29,256,235,0
174,Back Bay Charmer,Back Bay,42.35491,-71.07463,Entire home/apt,225,91,15,0,0
175,Luxury Studio Apt in North End,North End,42.36684,-71.0529,Entire home/apt,119,29,27,60,0
176,Quiet Artist's Retreat,Jamaica Plain,42.31246,-71.10793,Private room,98,29,40,272,1
177,Two Bedroom Apartment in Kenmore Sq,Fenway,42.34853,-71.09256,Entire home/apt,250,91,0,0,0
178,Brownstone Master Bath Suite Park Views by LMA & T,Roxbury,42.32971,-71.0931,Private room,82,2,337,8,1
179,Studio apart Tremont St South End #2,South End,42.34128,-71.07607,Entire home/apt,85,33,70,292,0
180,Great location!,Brighton,42.33678,-71.15237,Entire home/apt,90,91,4,0,0
181,Master Suite@ Logan Airport,East Boston,42.38903,-71.00251,Private room,100,91,1,363,1
182,Room Logan Airport + 1/2 bathroom,East Boston,42.38829,-71.00437,Private room,80,100,5,365,1
183,Cozy Jamaica Plain Pad,Jamaica Plain,42.31128,-71.10981,Private room,150,91,0,0,1
184,large & grand 2 bedroom South End by Copley Sq #3,South End,42.34128,-71.07607,Entire home/apt,120,33,141,275,0
185,newly furn one bedroom by Copley #6,South End,42.34128,-71.07607,Entire home/apt,110,31,81,336,0
186,"Grt Location, Big 3 Bed,Nr all Colleges, Hospitals",Brighton,42.35309,-71.14822,Entire home/apt,600,45,9,272,0
187,Brownstone Bedroom Treetop Skyline View by LMA & T,Roxbury,42.32942,-71.09149,Private room,75,2,240,76,1
188,Queen room in a charming villa,Roslindale,42.28026,-71.13584,Private room,50,28,36,225,1
