,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
98,Private room in a cozy creative home,Woodland Hills,34.15504,-118.6031,Private room,59,30,26,0,1
99,Motel Rm 2beds/micro/fridge/AC/wifi,Lynwood,33.91942,-118.20913,Private room,80,1,92,146,1
100,Charming Spanish Home by the Beach,Santa Monica,34.03735,-118.49205,Entire home/apt,550,330,18,66,0
101,Peaceful Private Suite in Gorgeous Penthouse,Hollywood Hills,34.10798,-118.3323,Private room,75,30,15,92,1
102,Budget Accommodation Beachside!,Santa Monica,34.01204,-118.49715,Hotel room,128,1,493,242,3
103,Lovely Echo Park Studio,Echo Park,34.07332,-118.26331,Entire home/apt,100,30,220,243,0
104,SUPER COZY Mid Century LA House with city view.,Mount Washington,34.09159,-118.21954,Entire home/apt,175,30,262,0,0
105,Fab 2 BD House Near the Grove A3,Fairfax,34.08023,-118.34657,Entire home/apt,139,30,113,0,0
106,Stand Alone Studio Cottage Retreat,Carson,33.8271,-118.27944,Entire home/apt,74,5,411,266,0
107,Silver Lake Cottage (Los Angeles 90026),Silver Lake,34.08587,-118.2648,Entire home/apt,83,30,193,277,0
108,"AMAZING PRICE, HUGE  TOWNHOUSE IN NOHO",North Hollywood,34.17324,-118.38833,Private room,59,30,17,353,1
109,"Cali, Cozy, Rustic Log Cabin Feel",Mid-City,34.04884,-118.37155,Private room,80,30,12,283,1
110,Executive 1 Bedroom Suite-LUXURY!!!,West Hollywood,34.09513,-118.36875,Entire home/apt,125,30,29,286,0
111,Motel Rm $450wk /free wifi and parking,Lynwood,33.91942,-118.20913,Private room,70,1,73,180,1
112,Updated Mid-Century Property by Angeles National Forest,Altadena,34.20977,-118.16546,Entire home/apt,100,1,30,338,0
113,BEVERLY HILLS APT,Beverly Hills,34.06547,-118.40422,Entire home/apt,149,3,72,281,0
114,"Cypress in Quiet Canyon: Gourmet Kitchen, W/D, Prk",Echo Park,34.08839,-118.24838,Entire home/apt,110,30,12,20,0
115,Pvt. Home Available,Calabasas,34.13097,-118.70429,Private room,80,1,324,11,1
116,Santa Monica Beach Suite 5,Pacific Palisades,34.02732,-118.51856,Private room,118,30,256,216,1
117,sweet little apt,Echo Park,34.08023,-118.25646,Entire home/apt,120,30,80,216,0
118,COZY BEDROOM FOR TWO  (2 TWIN BEDS),Valley Glen,34.1831,-118.39929,Private room,50,30,76,65,1
119,Spectacular Home With Breathtaking View,Hollywood Hills West,34.10236,-118.37752,Entire home/apt,1107,30,249,365,0
120,The Creative Suite in Topanga Cyn,Topanga,34.09729,-118.61616,Entire home/apt,90,1,389,348,0
121,Arts District Private Room 226,Downtown,34.04827,-118.23603,Private room,50,2,94,327,1
122,Sage in Quiet Canyon with 2 Furnished Patios,Echo Park,34.08916,-118.2489,Entire home/apt,165,30,12,334,0
123,Santa Monica/Brentwood Guest House,Sawtelle,34.03493,-118.4629,Entire home/apt,150,31,518,219,0
124,Garden of Edenhurst Guest House - 1BR,Atwater Village,34.1217,-118.26329,Entire home/apt,145,20,96,293,0
125,"Cozy room1; Silverlake, Los Angeles",Los Feliz,34.09869,-118.27475,Private room,120,30,82,279,1
126,Beautiful 2 BEDROOMS 1 BATH  IN NORTH HOLLYWOOD,Valley Glen,34.18256,-118.39972,Entire home/apt,148,30,61,34,0
127,CHARMING MASTER STUDIO  W/JACUZZI TUB  IN NOHO,Valley Glen,34.18163,-118.39925,Private room,60,30,216,155,1
128,Huge 2BR:Walk to All -Grove/CBS S.D,Fairfax,34.07824,-118.35823,Entire home/apt,160,30,93,338,0
129,Beautiful Venice Beach Canal house,Venice,33.98335,-118.46769,Entire home/apt,195,30,61,31,0
130,Topanga Mountain Wonderland Cottage,Topanga,34.09793,-118.61621,Entire home/apt,123,1,491,316,0
131,Japanese Teahouse in Topanga,Topanga,34.09813,-118.61599,Entire home/apt,133,1,302,321,0
132,Arts District Private Room 234,Downtown,34.04827,-118.23603,Private room,47,1,59,340,1
133,Comfy Large 2 Bd 2 Bath Parking Pet Friendly,Fairfax,34.06923,-118.34549,Entire home/apt,195,30,21,365,0
134,Maple: Quiet Canyon Condo with 2 Garden Patios,Echo Park,34.08913,-118.24896,Entire home/apt,125,30,21,330,0
135,"""Melrose"" Adorable 2 bd apt.  M1",Fairfax,34.08475,-118.35117,Entire home/apt,89,30,101,189,0
136,"Malibu Charming, Cozy Home Studio in Nature",Unincorporated Santa Monica Mountains,34.07054,-118.89799,Entire home/apt,220,2,83,87,0
137,Huge and rare 2br duplex in Santa Monica,Santa Monica,34.03441,-118.47219,Entire home/apt,139,13,18,337,0
138,"Sunny, spacious apartment with deck",Elysian Valley,34.10053,-118.24925,Entire home/apt,140,30,36,335,0
139,Panoramic Ocean View Venice Beach,Venice,33.99211,-118.476,Entire home/apt,152,30,3,0,0
140,Boho Chic Flat..Steps to Beach!,Venice,33.97487,-118.46312,Entire home/apt,125,30,30,0,0
141,Lovely Private rm in Home to FEMALE (Red Room),Westchester,33.96154,-118.42373,Private room,75,30,12,359,1
142,"Private Room in Home to FEMALE, pls (Purple Room)",Westchester,33.962,-118.42204,Private room,75,30,11,257,1
143,Malibu Pacific Ocean View Room 1,Malibu,34.03073,-118.75513,Private room,350,2,182,358,1
144,Griffith Park Home - Available Summer 2018,Hollywood Hills,34.11088,-118.30782,Entire home/apt,60,30,0,334,0
145,Gorgeous Spanish/Modern Guesthouse,Atwater Village,34.11365,-118.25162,Entire home/apt,100,31,84,220,0
146,Large 1 BR Culver City Peaceful Getaway!,Palms,34.0238,-118.40512,Entire home/apt,59,30,23,0,0
147,"Great West L.A. location, near much",Mar Vista,34.02035,-118.43428,Private room,114,2,31,365,1
148,Little villa Apartment,Echo Park,34.08187,-118.25663,Entire home/apt,130,30,58,0,0
149,Hillside Apartment in Silverlake (Sunset Junction),Silver Lake,34.08618,-118.27651,Entire home/apt,133,30,137,331,0
150,Stylish Bungalow House- In TheTrendy Melrose Area.,Fairfax,34.08538,-118.34455,Entire home/apt,80,31,16,222,0
151,great top floor condo,Sawtelle,34.03301,-118.46104,Entire home/apt,105,30,3,314,0
152,"Bright, Spacious 2bd Apt    S.U",Fairfax,34.07841,-118.35728,Entire home/apt,140,30,80,249,0
153,"Hollywood & Hiking, 31 day minimum",Hollywood Hills West,34.1042,-118.34748,Private room,40,31,91,58,1
154,3br 3ba townhome near Beverly Hills,Pico-Robertson,34.05303,-118.39449,Entire home/apt,340,31,14,267,0
155,Master Bedroom in Santa Monica Townhome,Santa Monica,34.02447,-118.48942,Private room,68,2,331,78,1
156,Beautiful Silverlake 2BR Craftsman- 35 Night Min,Silver Lake,34.09395,-118.27673,Entire home/apt,180,31,91,93,0
157,Silver Lake-Craftsman 1BR w deck & views 31 nt min,Silver Lake,34.09419,-118.27871,Entire home/apt,171,31,65,19,0
158,Lakewood California Guest Suite,Lakewood,33.86781,-118.1266,Private room,65,2,175,39,1
159,1930's Hollywood Charm - 1 Bedroom & Den & Garden,Hollywood,34.09624,-118.34656,Entire home/apt,125,33,3,249,0
160,MARINA BEACH BUNGALOWS,Venice,33.97713,-118.46279,Entire home/apt,196,31,231,249,0
161,Hollywood-Mid-Wilshire-Beverly Apt. at CBS-TV City,Fairfax,34.0768,-118.35301,Entire home/apt,66,30,79,68,0
162,GEORGEOUS CANYON BEACH GUESTHOUSE,Pacific Palisades,34.02886,-118.51392,Entire home/apt,187,2,67,198,0
